entry_date,expiry_date,direction,strike,entry_premium,exit_premium,exit_date,exit_reason,pnl_pts,pnl_pct,spot_at_entry,bull_score,bear_score
2024-09-02,2024-09-05,CALL,25350.0,65.59825000000001,13.929075,2024-09-04,stop,-51.66917500000001,-0.7876608750995645,25333.599609375,4,2
2024-09-23,2024-09-26,CALL,25850.0,159.13835,374.78697500000004,2024-09-26,target,215.64862500000004,1.3551015515744635,25872.55078125,4,2
2024-10-21,2024-10-24,PUT,24950.0,242.41307500000002,467.34792500000003,2024-10-22,target,224.93485,0.9278990004973947,24956.150390625,1,5
2024-11-11,2024-11-14,PUT,24100.0,92.78897500000001,239.54015,2024-11-12,target,146.751175,1.58155831552186,24087.25,1,5
2024-12-02,2024-12-05,CALL,24150.0,253.02897500000003,502.34535000000005,2024-12-05,target,249.31637500000002,0.9853273720924649,24140.849609375,4,2
2024-12-09,2024-12-12,CALL,24650.0,125.98870000000001,58.112700000000004,2024-12-11,stop,-67.876,-0.5387467288733038,24633.900390625,4,2
2024-12-30,2025-01-02,PUT,23800.0,189.83432500000004,0.349475,2025-01-02,stop,-189.48485000000002,-0.9981590526370823,23796.900390625,0,6
2025-02-10,2025-02-13,CALL,23550.0,82.42345,11.832225000000001,2025-02-11,stop,-70.59122500000001,-0.8564458900955979,23543.80078125,4,2
2025-02-17,2025-02-20,PUT,22800.0,80.06992500000001,33.44975,2025-02-19,stop,-46.62017500000001,-0.5822432704913861,22809.900390625,1,5
2025-02-24,2025-02-27,PUT,22600.0,92.9392,50.174625000000006,2025-02-27,stop,-42.764574999999994,-0.4601349591991323,22609.349609375,2,4
2025-03-10,2025-03-13,PUT,22500.0,139.10835,75.6863,2025-03-12,stop,-63.42205,-0.45591835429001926,22521.849609375,2,4
2025-06-02,2025-06-05,PUT,24650.0,175.913475,99.50052500000001,2025-06-04,stop,-76.41295,-0.43437803727087987,24669.69921875,2,4
2025-06-23,2025-06-26,CALL,24950.0,163.79532500000002,312.13110000000006,2025-06-25,target,148.33577500000004,0.9056166590835241,24939.75,4,2
2025-06-30,2025-07-03,CALL,25650.0,76.06392500000001,17.024425,2025-07-02,stop,-59.03950000000001,-0.7761826647783427,25661.650390625,5,1
2025-07-07,2025-07-10,PUT,25450.0,106.10892500000001,50.324400000000004,2025-07-08,stop,-55.78452500000001,-0.5257288677648935,25450.44921875,2,4
2025-07-14,2025-07-17,PUT,25150.0,114.3713,44.533100000000005,2025-07-15,stop,-69.8382,-0.6106269667302898,25149.5,1,5
2025-07-21,2025-07-24,PUT,25000.0,52.4786,6.9895000000000005,2025-07-23,stop,-45.4891,-0.8668123768545655,24999.0,2,4
2025-08-25,2025-08-28,CALL,24950.0,100.15,17.124275,2025-08-26,stop,-83.02572500000001,-0.8290137294058912,24949.150390625,4,2
2025-09-01,2025-09-02,PUT,24450.0,11.6174,0.249625,2025-09-02,stop,-11.367775,-0.9785128341969804,24432.69921875,2,4
2025-09-08,2025-09-09,CALL,24800.0,57.28580000000001,5.720000000000001,2025-09-09,expiry_fallback,-51.56580000000001,-0.9001497753369946,24802.599609375,4,2
2025-09-22,2025-09-23,CALL,25250.0,43.765550000000005,0.249625,2025-09-23,stop,-43.515925,-0.9942963129676194,25238.099609375,4,2
2025-10-13,2025-10-14,CALL,25200.0,82.02285,0.44932500000000003,2025-10-14,stop,-81.573525,-0.9945219533337356,25177.30078125,5,1
2025-11-17,2025-11-18,CALL,25950.0,103.905625,0.9485750000000001,2025-11-18,stop,-102.95705,-0.9908708022303893,25948.19921875,4,2
2025-12-01,2025-12-02,CALL,26350.0,13.870775,0.149775,2025-12-02,stop,-13.721,-0.9892021174015151,26325.80078125,4,2
2025-12-15,2025-12-16,PUT,25950.0,28.692975,77.333825,2025-12-16,target,48.64085,1.6952180803837873,25930.05078125,2,4
2025-12-22,2025-12-23,CALL,26050.0,122.83397500000001,12.265,2025-12-23,expiry_fallback,-110.56897500000001,-0.9001497753369945,26055.849609375,4,2
2026-01-05,2026-01-06,CALL,26350.0,12.568825000000002,0.09985000000000001,2026-01-06,stop,-12.468975000000002,-0.9920557410895608,26333.69921875,4,2
2026-02-09,2026-02-10,CALL,25900.0,54.681900000000006,5.460000000000001,2026-02-10,expiry_fallback,-49.221900000000005,-0.9001497753369945,25888.69921875,6,0
2026-04-20,2026-04-21,CALL,24400.0,106.10892500000001,10.595,2026-04-21,expiry_fallback,-95.51392500000001,-0.9001497753369946,24391.5,5,1
2026-05-04,2026-05-05,PUT,24050.0,65.648325,27.259050000000002,2026-05-05,stop,-38.389275,-0.5847715840427002,24063.55078125,2,4
